Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,862.07,10344.84,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3a.xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,1149.42,13793.04,USD,"Operating system (Linux), Quantity (16), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3a.xlarge)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,4795.196,57542.35,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Instance type (db.m5.12xlarge), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1908.9,22906.80,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon Route 53,0,10.5,126.00,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),S3 Standard,0,1150,13800.00,USD,S3 Standard storage (50000 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),AWS Data Transfer,0,1791.91,21502.92,USD,"Data Transfer, Data transfer cost (1791.91)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,921.51,11058.12,USD," Inbound (from: Internet) 20 TB per month 
 Outbound (to: Internet) 10 TB per month 
 Intra-Region 0 TB per month 
"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,441.65000000000003,5299.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,2640.798,31689.58,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Instance type (db.m5.12xlarge), Additional backup storage (5 TB)"
My Estimate,US East (Ohio),Amazon EC2,0,1005.75,12069.00,USD,"Operating system (Linux), Quantity (14), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3a.xlarge)"
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,921.51,11058.12,USD,"Data Transfer, Data transfer cost (921.51)"
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,954.45,11453.40,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),Elastic Load Balancing,0,220.83,2649.96,USD,Number of Application Load Balancers (1)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."


Changes made to increase cost:
============================

Added 1 region (ohio) for HA across region. It would give redundancy across region and allow for failover across region. Added 1 AZ in Ohio region.
Increased no. of web servers and app servers by 50%. This would allow better scalability and increase application performance. 
