Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon EC2,0,287.36,3448.32,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3a.xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,574.71,6896.52,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (t3a.xlarge)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,4795.196,57542.35,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,965.7,11588.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon Route 53,0,1.5,18.00,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),S3 Standard,0,1150,13800.00,USD,S3 Standard storage (50000 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (N. Virginia),AWS Data Transfer,0,0,0.00,USD," Inbound (from: Internet) 10 TB per month 
 Outbound (to: Amazon Cloud Front) 20 TB per month 
 Intra-Region 0 TB per month 
"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,921.51,11058.12,USD," Inbound (from: Internet) 20 TB per month 
 Outbound (to: Internet) 10 TB per month 
 Intra-Region 0 TB per month 
"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,441.65000000000003,5299.80,USD,Number of Application Load Balancers (2)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
