Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
0e67eb3a-73db-462f-ba16-e59b58edd56d,"2020-07-22, 11:04:31 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
b9aa6515-1e87-4e29-9cf4-da443548921f,"2020-07-22, 11:03:55 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,98.210.74.192
855d80fc-6b3a-4ca0-9a82-683d95c8a431,"2020-07-22, 11:02:36 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,98.210.74.192
33f173c6-8cc4-4318-907f-b100502181a7,"2020-07-22, 11:02:35 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,98.210.74.192
5fc0213e-69b2-45c5-97e6-3856c4d43c7c,"2020-07-22, 11:02:35 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,98.210.74.192
5993b6dc-cf59-41ee-b84e-cbb09c7351f2,"2020-07-22, 11:02:34 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::049571535848:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQXCVRTPUFABVJPM2K""}]",,us-east-1,,98.210.74.192
1d2877cb-50ac-42d0-b0a7-31c9b9ff2a25,"2020-07-22, 11:01:41 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,98.210.74.192
471e7ff4-6eac-46e1-8e94-6b8715db1b18,"2020-07-22, 11:01:40 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,98.210.74.192
7eb98c4b-5773-43f3-b8b3-9dde1521db69,"2020-07-22, 11:01:40 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,98.210.74.192
58180a36-5899-4231-98e3-4597c1ba583d,"2020-07-22, 11:01:38 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::049571535848:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQXCVRTPUANT4YJKQJ""}]",,us-east-1,,98.210.74.192
6a7bdabc-9cd7-4955-be43-28a1fd076d8b,"2020-07-22, 11:00:21 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAQXCVRTPUNUI75DLDI""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::049571535848:group/Reviewers""}]",,us-east-1,,98.210.74.192
6f6493d4-011c-4c84-bfc6-7cce2ed1fee4,"2020-07-22, 11:00:21 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,98.210.74.192
600f025c-50e6-493e-8b84-377cc6facdbc,"2020-07-22, 10:59:58 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,98.210.74.192
734a0cb4-7dd9-4e22-82ba-46eba6d8edd9,"2020-07-22, 10:59:58 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAQXCVRTPUCKFGRIZD7""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::049571535848:group/CloudTrailAdmins""}]",,us-east-1,,98.210.74.192
f9e10c3e-5ca6-4bcc-8059-9cf0e31533c2,"2020-07-22, 10:59:58 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,98.210.74.192
55c0961c-93d8-4917-97cc-0834736fe6fa,"2020-07-22, 10:59:21 PM",root,DeleteGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""temp""}]",,us-east-1,,98.210.74.192
bdf3df3e-6c6d-4b85-8ff1-f3fc36b3a71d,"2020-07-22, 10:56:15 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,98.210.74.192
80191c92-9131-4166-b296-5b489ca84333,"2020-07-22, 10:55:49 PM",root,ConsoleLogin,,,,us-east-1,,98.210.74.192
7cc9bcec-3fdf-419f-8898-0f4cf2af8c0e,"2020-07-22, 10:55:08 PM",Aaria,UpdateAccountPasswordPolicy,,,,us-east-1,AccessDenied,98.210.74.192
